assembly	16S_rRNA_Count
S_NS1_Af_002_v1v9_Alistipes_finegoldii	2
S_NS1_Am_001_v1v9_Akkermansia_muciniphila	3
S_NS1_Ao_003_v1v9_Alistipes_onderdonkii	2
S_NS1_Ba_008_v1v9_Bifidobacterium_longum	4
S_NS1_Bl_116_v1v9_Bifidobacterium_longum	4
S_NS1_Bp_010_v1v9_Bifidobacterium_pseudocatenulatum	5
S_NS1_Bs_004_v1v9_Bacteroides_stercoris	5
S_NS1_Bt_005_v1v9_Bacteroides_thetaiotaomicron	5
S_NS1_Bu_006_v1v9_Bacteroides_uniformis	4
S_NS1_Bv_007_v1v9_Phocaeicola_vulgatus	7
S_NS1_Ca_028_v1v9_Collinsella_sp902362275	5
S_NS1_Cb_011_v1v9_Enterocloster_bolteae	5
S_NS1_Cc_012_v1v9_Enterocloster_citroniae	5
S_NS1_Cp_013_v1v9_Sarcina_perfringens	10
S_NS1_Eh_016_v1v9_Enterococcus_B_durans	6
S_NS1_El_014_v1v9_Eggerthella_lenta	3
S_NS1_Em_017_v1v9_Escherichia_coli	7
S_NS1_Em_018_v1v9_Escherichia_coli	7
S_NS1_Et_015_v1v9_Eisenbergiella_tayi	4
S_NS1_Fp_019_v1v9_Flavonifractor_plautii	3
S_NS1_Fp_020_v1v9_Flavonifractor_plautii	3
S_NS1_He_021_v1v9_Hungatella_effluvii	4
S_NS1_Ig_115_v1v9_Instestinimonas_A_celer	2
S_NS1_Pd_022_v1v9_Parabacteroides_distasonis	7
S_NS1_Pm_023_v1v9_Parabacteroides_merdae	6
S_NS1_Shsn_025_v1v9_Staphylococcus_hominis	6
S_NS1_Ss_026_v1v9_Streptococcus_sp001556435	6
S_NS1_Sw_027_v1v9_Sutterella_wadsworthensis	6
S_NS1_Af_002_Alistipes_finegoldii	2
S_NS1_Am_001_Akkermansia_muciniphila	3
S_NS1_Ao_003_Alistipes_onderdonkii	2
S_NS1_Ba_008_Bifidobacterium_longum	4
S_NS1_Bp_010_Bifidobacterium_pseudocatenulatum	5
S_NS1_Bs_004_Bacteroides_stercoris	5
S_NS1_Bt_005_Bacteroides_thetaiotaomicron	5
S_NS1_Bu_006_Bacteroides_uniformis	4
S_NS1_Bv_007_Phocaeicola_vulgatus	7
S_NS1_Ca_028_Collinsella_sp902362275	5
S_NS1_Cb_011_Enterocloster_bolteae	5
S_NS1_Cc_012_Enterocloster_citroniae	5
S_NS1_Cp_013_Sarcina_perfringens	10
S_NS1_Eh_016_Enterococcus_B_durans	6
S_NS1_El_014_Eggerthella_lenta	3
S_NS1_Em_017_Escherichia_coli	7
S_NS1_Et_015_Eisenbergiella_tayi	4
S_NS1_Fp_019_Flavonifractor_plautii	3
S_NS1_Fp_020_Flavonifractor_plautii	3
S_NS1_He_021_Hungatella_effluvii	4
S_NS1_Ig_115_Instestinimonas_A_celer	2
S_NS1_Pd_022_Parabacteroides_distasonis	7
S_NS1_Pm_023_Parabacteroides_merdae	6
S_NS1_Shsn_025_Staphylococcus_hominis	6
S_NS1_Ss_026_Streptococcus_sp001556435	6
S_NS1_Sw_027_Sutterella_wadsworthensis	6
S_NS6_Af_030_v1v9_Alistipes_finegoldii	2
S_NS6_Am_029_v1v9_Akkermansia_massiliensis	3
S_NS6_Ao_031_v1v9_Alistipes_onderdonkii	2
S_NS6_Ba_039_v1v9_Bifidobacterium_adolescentis	4
S_NS6_Blss_040_v1v9_Bifidobacterium_longum	4
S_NS6_Bs_032_v1v9_Bacteroides_stercoris	5
S_NS6_Bs_033_v1v9_Bacteroides_stercoris	5
S_NS6_Bu_034_v1v9_Bacteroides_uniformis	4
S_NS6_Bu_036_v1v9_Bacteroides_uniformis	4
S_NS6_Bu_117_v1v9_Bacteroides_uniformis	4
S_NS6_Bv_037_v1v9_Phocaeicola_vulgatus	7
S_NS6_Cb_041_v1v9_Enterocloster_bolteae	5
S_NS6_Cb_042_v1v9_Enterocloster_sp005845215	5
S_NS6_Cp_043_v1v9_Sarcina_perfringens	10
S_NS6_Ef_050_v1v9_Enterococcus_faecalis	4
S_NS6_Ef_051_v1v9_Escherichia_coli	7
S_NS6_El_044_v1v9_Eggerthella_lenta	3
S_NS6_El_045_v1v9_Eggerthella_lenta	3
S_NS6_Em_046_v1v9_Eisenbergiella_porci	4
S_NS6_Em_047_v1v9_Eisenbergiella_porci	4
S_NS6_He_053_v1v9_Hungatella_effluvii	4
S_NS6_Hh_054_v1v9_Hungatella_hathewayi	4
S_NS6_Pd_055_v1v9_Parabacteroides_distasonis	7
S_NS6_Pm_056_v1v9_Parabacteroides_merdae	6
S_NS6_Pp_057_v1v9_Pseudoflavonifractor_A_sp022772585	3
S_NS6_Sh_058_v1v9_Staphylococcus_hominis	6
S_NS6_Ss_059_v1v9_Streptococcus_sp001556435	6
S_NS6_Af_030_Alistipes_finegoldii	2
S_NS6_Am_029_Akkermansia_massiliensis	3
S_NS6_Ao_031_Alistipes_onderdonkii	2
S_NS6_Ba_039_Bifidobacterium_adolescentis	4
S_NS6_Blss_040_Bifidobacterium_longum	4
S_NS6_Bs_032_Bacteroides_stercoris	5
S_NS6_Bu_034_Bacteroides_uniformis	4
S_NS6_Bv_037_Phocaeicola_vulgatus	7
S_NS6_Bx_038_Bacteroides_xylanisolvens	5
S_NS6_Bx_038_Bacteroides_xylanisolvens_2	5
S_NS6_Cb_041_Enterocloster_bolteae	5
S_NS6_Cb_042_Enterocloster_sp005845215	5
S_NS6_Cp_043_Sarcina_perfringens	10
S_NS6_Ef_049_Enterococcus_faecalis	4
S_NS6_Ef_051_Escherichia_coli	7
S_NS6_El_044_Eggerthella_lenta	3
S_NS6_El_045_Eggerthella_lenta	3
S_NS6_Em_046_Eisenbergiella_porci	4
S_NS6_Et_048_Eisenbergiella_tayi	4
S_NS6_Fp_052_Flavonifractor_plautii	3
S_NS6_He_053_Hungatella_effluvii	4
S_NS6_Hh_054_Hungatella_hathewayi	4
S_NS6_Pd_055_Parabacteroides_distasonis	7
S_NS6_Pm_056_Parabacteroides_merdae	6
S_NS6_Pp_057_Pseudoflavonifractor_A_sp022772585	3
S_NS6_Sh_058_Staphylococcus_hominis	6
S_NS6_Ss_059_Streptococcus_sp001556435	6
S_NS6_Sw_060_Sutterella_wadsworthensis	6
S_S2_Af_119_v1v9_Alistipes_finegoldii	2
S_S2_Am_061_v1v9_Akkermansia_muciniphila	3
S_S2_Bd_064_v1v9_Phocaeicola_dorei	7
