"","Plate4_036R_0_M_NS1_week5_S41_L001","Plate4_036R_L_M_NS1_week5_S42_L001","Plate4_036R_RL_M_NS1_week5_S43_L001","Plate4_036R_RR_M_NS1_week5_S44_L001","Plate4_1030R_RR_M_NS1_week5_S45_L001","Plate4_1121R_L_M_NS1_week5_S46_L001","Plate4_1121R_RL_M_NS1_week5_S48_L001","Plate4_1121R_RR_M_NS1_week5_S49_L001","Plate4_1121R_R_M_NS1_week5_S47_L001","Plate4_1151R_0_M_NS1_week5_S50_L001","Plate4_1193R_0_F_NS1_week5_S51_L001","Plate4_1193R_L_F_NS1_week5_S52_L001","Plate4_2529R_0_F_NS1_week5_S53_L001","Plate4_2529R_L_F_NS1_week5_S54_L001","Plate4_2529R_RL_F_NS1_week5_S55_L001","Plate4_3861R_0_M_NS1_week5_S56_L001","Plate4_3861R_L_M_NS1_week5_S57_L001","Plate4_3861R_R_M_NS1_week5_S58_L001","Plate4_3971R_0_F_NS1_week5_S59_L001","Plate4_3975R_0_F_NS1_week5_S60_L001","Plate4_3975R_L_F_NS1_week5_S61_L001","Plate5_2808_NS1_0_Female_week5_S37_L001","Plate5_2808_NS1_L_Female_week5_S38_L001","Plate5_2808_NS1_RR_Female_week5_S40_L001","Plate5_2808_NS1_R_Female_week5_S39_L001","Plate5_2824_NS1_0_Male_week5_S43_L001","Plate5_2824_NS1_L_Male_week5_S44_L001","Plate5_2824_NS1_R_Male_week5_S45_L001","Plate5_2864_NS1_R_Male_week5_S46_L001","Plate5_2893_NS1_0_Male_week5_S47_L001","Plate5_2893_NS1_R_Male_week5_S48_L001","Plate5_2999_NS1_0_Female_week5_S41_L001","Plate5_2999_NS1_R_Female_week5_S42_L001","Plate2_036R_R_M_NS1_week6_S19_L001","Plate2_1030R_L_M_NS1_week6_S23_L001","Plate2_1121R_0_M_NS1_week6_S27_L001","Plate2_1151R_R_M_NS1_week6_S31_L001","Plate2_1193R_R_F_NS1_week6_S2_L001","Plate2_2529R_R_F_NS1_week6_S6_L001","Plate2_3971R_L_F_NS1_week6_S10_L001","Plate2_3975R_R_F_NS1_week6_S15_L001","Plate2_036R_R_M_NS1_week7_S20_L001","Plate2_1030R_L_M_NS1_week7_S24_L001","Plate2_1121R_0_M_NS1_week7_S28_L001","Plate2_1151R_R_M_NS1_week7_S32_L001","Plate2_1193R_R_F_NS1_week7_S3_L001","Plate2_2529R_R_F_NS1_week7_S7_L001","Plate2_3971R_L_F_NS1_week7_S11_L001","Plate2_3975R_R_F_NS1_week7_S16_L001","Plate2_036R_R_M_NS1_week9_S21_L001","Plate2_1030R_L_M_NS1_week9_S25_L001","Plate2_1121R_0_M_NS1_week9_S29_L001","Plate2_1151R_R_M_NS1_week9_S33_L001","Plate2_1193R_R_F_NS1_week9_S4_L001","Plate2_2529R_R_F_NS1_week9_S8_L001","Plate2_3861R_R_M_NS1_week9_S34_L001","Plate2_3971R_L_F_NS1_week9_S12_L001","Plate2_3975R_0_F_NS1_week9_S13_L001","Plate2_3975R_R_F_NS1_week9_S17_L001","Plate4_036R_0_M_NS1_S62_L001","Plate4_036R_L_M_NS1_S63_L001","Plate4_036R_RL_M_NS1_S64_L001","Plate4_036R_RR_M_NS1_S65_L001","Plate4_1030R_RR_M_NS1_week9_S66_L001","Plate4_1121R_L_M_NS1_week9_S67_L001","Plate4_1121R_RL_M_NS1_week9_S69_L001","Plate4_1121R_RR_M_NS1_week9_S70_L001","Plate4_1121R_R_M_NS1_week9_S68_L001","Plate4_1151R_0_M_NS1_week9_S71_L001","Plate4_1193R_0_F_NS1_week9_S72_L001","Plate4_1193R_L_F_NS1_week9_S73_L001","Plate4_2529R_0_F_NS1_week9_S74_L001","Plate4_2529R_L_F_NS1_week9_S75_L001","Plate4_2529R_RL_F_NS1_week9_S76_L001","Plate4_3861R_0_M_NS1_week9_S77_L001","Plate4_3861R_L_M_NS1_week9_S78_L001","Plate4_3971R_0_F_NS1_week9_S79_L001","Plate4_3971R_RL_F_NS1_week9_S81_L001","Plate4_3971R_R_F_NS1_week9_S80_L001","Plate4_3975R_L_F_NS1_week9_S82_L001","Plate4_3975R_RL_F_NS1_week9_S83_L001","Plate5_2808_NS1_0_Female_week9_S49_L001","Plate5_2808_NS1_L_Female_week9_S50_L001","Plate5_2808_NS1_RR_Female_week9_S52_L001","Plate5_2808_NS1_R_Female_week9_S51_L001","Plate5_2824_NS1_0_Male_week9_S55_L001","Plate5_2824_NS1_L_Male_week9_S56_L001","Plate5_2824_NS1_R_Male_week9_S57_L001","Plate5_2864_NS1_R_Male_week9_S58_L001","Plate5_2893_NS1_0_Male_week9_S59_L001","Plate5_2893_NS1_R_Male_week9_S60_L001","Plate5_2999_NS1_0_Female_week9_S53_L001","Plate5_2999_NS1_R_Female_week9_S54_L001","Plate1_1030R_0_M_NS1_week10_S77_L001","Plate1_1030R_R_M_NS1_week10_S78_L001","Plate1_2472R_0_F_NS1_week10_S73_L001","Plate1_2472R_R_F_NS1_week10_S74_L001","Plate1_3874R_0_F_NS1_week10_S75_L001","Plate1_3874R_L_F_NS1_week10_S76_L001","Plate1_3974R_0_M_NS1_week10_S79_L001","Plate1_3974R_L_M_NS1_week10_S80_L001"
"Akkermansia_muciniphila",6421,7470,7623,12896,12858,14900,17234,11546,12877,5629,9863,8521,11340,9476,8271,7912,6606,11892,12639,8206,10126,42040,25898,9251,22075,13541,17742,13383,13222,17227,12426,13225,40528,13666,15043,30754,18604,15224,11952,19970,25406,22561,36728,21477,23096,23456,24953,17542,26418,17320,24883,18919,18826,10092,20882,13159,13004,16194,26016,5950,9102,8171,9941,10401,17006,18947,17721,12534,18338,8808,6660,15854,13604,15338,8015,7634,17299,13135,6305,14056,10439,20360,17240,26165,22286,26751,17401,19633,21032,28929,33552,20785,31713,21447,17058,26264,22140,21023,16468,22082,21783
"Phocaeicola_vulgatus",7812,8103,9758,9111,8868,7698,6311,4276,5133,5488,7092,7095,6401,8978,8214,6643,5518,6787,6957,7006,7472,19992,7829,3337,13451,6733,7255,7858,6384,4956,6679,4688,9685,10372,15083,5289,10353,6745,8377,9913,8956,10342,8593,10180,11661,8198,6505,9488,15187,10346,8252,10504,11003,14636,7927,15537,11048,18778,11802,9200,6559,6611,10192,8935,8838,10792,9733,9545,8819,9405,9685,8309,8328,8175,8498,10512,7629,7131,7162,9198,7374,10972,7553,7516,8073,11366,7724,8850,12236,10058,10971,7703,12525,10225,9525,9288,9187,10754,9626,9829,11990
"Phocaeicola_dorei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,18,15,0,10,15,13,0,13,29,20,13,9,25,26,18,15,16,56,6,11,35,32,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_uniformis",23761,24172,22556,33814,36342,26148,23270,17856,19452,30719,25329,29226,31972,23274,27210,24682,13111,17718,17270,12001,14950,62996,27612,12625,30761,29062,40146,37754,22416,26327,28900,23750,48594,24662,32846,19393,24972,25692,30796,22670,20035,13562,13203,9223,18614,18751,20338,19109,6655,16395,16670,17028,16418,5327,11280,2433,21929,19971,22325,16537,15210,9849,18085,9373,12214,20029,16039,18162,13583,17810,11409,11934,11771,12220,12544,9399,16700,13030,16683,13239,15383,22426,16932,18662,16542,29219,10868,15716,15066,21019,24256,11560,22538,16154,16632,20812,17637,15129,14421,18127,16921
"Akkermansia_massiliensis",0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",1953,1975,1468,3111,1780,1850,2354,1719,2199,1291,2894,2280,2038,1146,2849,1942,1432,1766,1742,3327,5933,3284,2705,699,2238,2793,3743,2584,1767,1307,1147,2029,5845,958,1380,1214,2138,1008,1738,1176,1144,1068,1371,578,1219,759,1195,841,662,1308,523,645,807,362,1236,470,562,396,849,286,292,453,459,280,625,706,729,352,1208,283,336,937,761,793,390,252,593,511,209,377,429,1277,2008,1006,906,1565,528,1272,809,1369,2083,1244,1525,1110,929,1492,914,1550,1799,776,1102
"Eisenbergiella_tayi",697,2073,1549,2029,1070,1919,1766,1326,1368,2331,1651,1103,1782,1270,2905,2146,2452,2664,3038,1447,799,7728,2587,2243,2320,2268,4155,3496,3118,2798,3558,2462,5423,4203,502,1071,4416,2036,1416,3687,2778,1248,1097,1388,3834,251,1748,1773,613,3037,3629,2935,3398,5232,3310,6270,5643,3448,4485,2978,1985,1937,2829,2580,1547,1966,1637,2409,1881,2426,3330,1423,1833,1994,2336,1789,2722,4115,3802,3453,2314,5408,4781,4423,3916,7298,4593,4634,4173,4292,6593,719,1987,2153,2359,1868,1733,2021,2459,2202,2573
"Hungatella_effluvii",0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",1164,1075,1279,1480,892,989,1353,782,975,565,529,582,621,626,533,775,536,963,645,915,728,3339,2155,614,1902,1104,1833,1542,966,924,1217,1169,1714,2602,2290,1480,1842,939,1246,2469,2059,2554,1733,1746,3355,1820,905,2971,3486,2194,2267,2288,2213,4185,713,2128,2532,5857,2628,2049,1854,1612,1631,2243,1187,1524,2172,865,1854,1476,2606,2419,1525,665,1769,2353,1741,1729,1361,1762,1841,2202,1220,1721,2022,3282,1934,3014,3714,1887,4407,2836,2925,2026,2070,1727,1799,2160,1797,2173,2052
